"","Estado","Edad","Sexo","Hora","PesoTotal"
"1","AZ","J","Male","<=13:00",0.5726
"2","AZ","J","Male","<=13:00",0.277
"3","AZ","J","Male","<=13:00",0.6935
"4","AZ","J","Male","<=13:00",2.0724
"5","AZ","J","Male","<=13:00",0.6617
"6","AZ","J","Male","<=13:00",0.5128
"7","AZ","J","Male","<=13:00",1.4358
"8","AZ","J","Male","<=13:00",2.5986
"9","AZ","J","Male","<=13:00",0.7155
"10","AZ","J","Male","<=13:00",1.6413
"11","AZ","J","Male","<=13:00",0.1467
"12","AZ","J","Male","<=13:00",0.027
"13","AZ","J","Male","<=13:00",0.0705
"14","AZ","J","Male","<=13:00",1.2642
"15","AZ","J","Male","<=13:00",0.1923
"16","AZ","J","Male","<=13:00",0.5567
"17","AZ","J","Male","<=13:00",2.6547
"18","AZ","J","Male","<=13:00",1.5096
"19","AZ","J","Male","<=13:00",3.2824
"20","AZ","J","Male","<=13:00",0.1466
"21","AZ","J","Male","<=13:00",1.348
"22","AZ","J","Male","<=13:00",0.5417
"23","AZ","J","Male","<=13:00",0.149
"24","AZ","J","Male","<=13:00",0.0534
"25","AZ","J","Male","<=13:00",0.8579
"26","AZ","J","Male","<=13:00",0.9873
"27","AZ","J","Male",">13:00",5.463
"28","AZ","J","Male",">13:00",3.4975
"29","AZ","J","Male",">13:00",3.0839
"30","AZ","J","Male",">13:00",1.1292
"31","AZ","J","Male",">13:00",4.3793
"32","AZ","J","Male",">13:00",3.57851
"33","AZ","J","Male",">13:00",5.1593
"34","AZ","J","Male",">13:00",3.9955
"35","AZ","J","Male",">13:00",2.1698
"36","AZ","J","Male",">13:00",1.815
"37","AZ","J","Male",">13:00",1.2086
"38","AZ","J","Male",">13:00",5.76069
"39","AZ","J","Male",">13:00",3.9676
"40","AZ","J","Male",">13:00",3.9705
"41","AZ","J","Male",">13:00",2.5376
"42","AZ","J","Male",">13:00",2.8309
"43","AZ","J","Male",">13:00",2.0328
"44","AZ","J","Male",">13:00",0.8214
"45","NM","J","Male","<=13:00",2.47819
"46","NM","J","Male","<=13:00",0.50259
"47","NM","J","Male","<=13:00",1.7874
"48","NM","J","Male","<=13:00",1.66329
"49","NM","J","Male","<=13:00",2.6223
"50","NM","J","Male","<=13:00",0
"51","NM","J","Male","<=13:00",0.0931
"52","NM","J","Male","<=13:00",0.4628
"53","NM","J","Male","<=13:00",0.4701
"54","NM","J","Male","<=13:00",0.2014
"55","NM","J","Male","<=13:00",0
"56","NM","J","Male","<=13:00",0.7054
"57","NM","J","Male","<=13:00",0.8293
"58","NM","J","Male","<=13:00",0.3853
"59","NM","J","Male","<=13:00",0.58439
"60","NM","J","Male","<=13:00",1.3913
"61","NM","J","Male","<=13:00",1.5907
"62","NM","J","Male","<=13:00",2.3225
"63","NM","J","Male","<=13:00",0.3551
"64","NM","J","Male","<=13:00",2.3693
"65","NM","J","Male","<=13:00",6.9003
"66","NM","J","Male","<=13:00",6.0859
"67","NM","J","Male","<=13:00",3.5445
"68","NM","J","Male","<=13:00",0.0092
"69","NM","J","Male","<=13:00",0.7094
"70","NM","J","Male","<=13:00",0.0409
"71","NM","J","Male","<=13:00",0.9168
"72","NM","J","Male","<=13:00",2.1258
"73","NM","J","Male",">13:00",3.9632
"74","NM","J","Male",">13:00",4.5002
"75","NM","J","Male",">13:00",2.4675
"76","NM","J","Male",">13:00",3.0461
"77","NM","J","Male",">13:00",1.48979
"78","NM","J","Male",">13:00",2.1203
"79","NM","J","Male",">13:00",1.8369
"80","NM","J","Male",">13:00",2.69
"81","NM","J","Male",">13:00",0.6988
"82","NM","J","Male",">13:00",1.2356
"83","NM","J","Male",">13:00",5.6758
"84","NM","J","Male",">13:00",1.33299
"85","NM","J","Male",">13:00",2.5207
"86","NM","J","Male",">13:00",1.85459
"87","NM","J","Male",">13:00",4.5783
"88","NM","J","Male",">13:00",3.44129
"89","NM","J","Male",">13:00",4.97309
"90","NM","J","Male",">13:00",3.2908
"91","NM","J","Male",">13:00",2.2666
"92","NM","J","Male",">13:00",2.60119
"93","NM","J","Male",">13:00",3.98529
"94","NM","J","Male",">13:00",2.27289
"95","NM","J","Male",">13:00",4.4719
"96","NM","J","Male",">13:00",1.3487
"97","NM","J","Male",">13:00",1.5321
"98","NM","J","Male",">13:00",3.1919
"99","NM","J","Male",">13:00",3.4345
"100","NM","J","Male",">13:00",3.279
"101","NM","J","Male",">13:00",2.7868
"102","NM","J","Male",">13:00",1.9138
"103","NM","J","Male",">13:00",7.4866
"104","NM","J","Male",">13:00",6.6341
